Timestamp,Voltage (V)
16:53:35.872,0.26
16:53:36.060,0.97
16:53:36.248,0.49
16:53:36.483,0.32
16:53:36.668,0.00
16:53:36.855,1.00
16:53:37.087,0.74
16:53:37.275,5.00
16:53:37.463,0.98
16:53:37.649,0.80
16:53:37.882,5.00
16:53:38.068,0.98
16:53:38.255,0.94
16:53:38.489,0.99
16:53:38.677,0.71
16:53:38.864,0.67
16:53:39.051,0.97
16:53:39.287,0.55
16:53:39.475,1.10
16:53:39.660,0.65
16:53:39.893,5.00
16:53:40.080,0.85
16:53:40.269,0.60
16:53:40.457,0.73
16:53:40.693,0.99
16:53:40.880,0.89
16:53:41.067,0.95
16:53:41.255,5.00
16:53:41.487,1.02
16:53:41.674,0.27
16:53:41.863,0.66
16:53:42.097,1.02
16:53:42.284,0.34
16:53:42.472,0.89
16:53:42.660,0.26
16:53:42.894,5.00
16:53:43.080,1.00
16:53:43.269,0.84
16:53:43.455,0.22
16:53:43.690,5.00
16:53:43.878,0.94
16:53:44.065,0.94
16:53:44.253,0.71
16:53:44.485,5.00
16:53:44.674,0.97
16:53:44.862,0.99
16:53:45.096,0.27
16:53:45.284,0.92
16:53:45.470,0.27
16:53:45.658,0.99
16:53:45.892,0.39
16:53:46.077,1.09
16:53:46.265,1.08
16:53:46.501,0.65
16:53:46.689,0.78
16:53:46.877,2.75
16:53:47.063,0.77
16:53:47.296,5.00
16:53:47.484,0.92
16:53:47.673,0.69
16:53:47.859,0.97
16:53:48.093,0.98
16:53:48.280,0.26
16:53:48.469,0.92
16:53:48.657,5.00
16:53:48.890,0.98
16:53:49.076,0.87
16:53:49.263,0.94
16:53:49.501,0.73
16:53:49.688,0.89
16:53:49.876,0.99
16:53:50.063,0.98
16:53:50.298,0.83
16:53:50.487,0.26
16:53:50.671,0.73
16:53:50.906,0.73
16:53:51.092,0.80
16:53:51.278,1.02
16:53:51.464,0.97
16:53:51.701,5.00
16:53:51.887,1.02
16:53:52.075,3.62
16:53:52.262,0.87
16:53:52.494,1.00
16:53:52.682,0.75
16:53:52.868,0.89
16:53:53.101,5.00
16:53:53.289,5.00
16:53:53.477,5.00
16:53:53.666,0.99
16:53:53.899,1.00
16:53:54.088,0.91
16:53:54.275,0.96
16:53:54.507,0.54
16:53:54.695,4.41
16:53:54.881,1.09
16:53:55.071,0.49
16:53:55.304,1.06
16:53:55.489,0.00
16:53:55.676,1.01
16:53:55.911,1.79
16:53:56.096,1.10
16:53:56.284,1.04
16:53:56.471,1.06
16:53:56.705,1.00
16:53:56.892,0.00
16:53:57.079,0.71
16:53:57.267,0.91
16:53:57.501,0.06
16:53:57.690,0.91
16:53:57.877,1.03
16:53:58.109,0.77
16:53:58.298,0.98
16:53:58.485,1.05
16:53:58.675,0.32
16:53:58.909,0.97
16:53:59.094,5.00
16:53:59.280,0.83
16:53:59.468,1.10
16:53:59.701,1.07
16:53:59.888,0.50
16:54:00.078,5.00
16:54:00.313,1.06
16:54:00.497,1.09
16:54:00.683,1.06
16:54:00.869,0.37
16:54:01.103,5.00
